Time,01-Jan-16,01-Feb-16,01-Mar-16,01-Apr-16,01-May-16,01-Jun-16,01-Jul-16,01-Aug-16,01-Sep-16,01-Oct-16,01-Nov-16,01-Dec-16,01-Jan-17,01-Feb-17,01-Mar-17,01-Apr-17,01-May-17,01-Jun-17,01-Jul-17,01-Aug-17,01-Sep-17,01-Oct-17,01-Nov-17,01-Dec-17,01-Jan-18,01-Feb-18,01-Mar-18,01-Apr-18,01-May-18,01-Jun-18,01-Jul-18,01-Aug-18,01-Sep-18,01-Oct-18,01-Nov-18,01-Dec-18,01-Jan-19,01-Feb-19,01-Mar-19,01-Apr-19,01-May-19,01-Jun-19,01-Jul-19,01-Aug-19,01-Sep-19,01-Oct-19,01-Nov-19,01-Dec-19,01-Jan-20,01-Feb-20,01-Mar-20,01-Apr-20,01-May-20,01-Jun-20,01-Jul-20,01-Aug-20,01-Sep-20,01-Oct-20,01-Nov-20,01-Dec-20,01-Jan-21,01-Feb-21,01-Mar-21,01-Apr-21,01-May-21,01-Jun-21,01-Jul-21,01-Aug-21,01-Sep-21,01-Oct-21,01-Nov-21,01-Dec-21,01-Jan-22,01-Feb-22,01-Mar-22,01-Apr-22,01-May-22,01-Jun-22,01-Jul-22,01-Aug-22,01-Sep-22
Downloads,0.05,0.1,0.36,0.23,0.21,0.21,0.29,0.37,0.9,0.56,0.73,0.72,0.74,0.7,0.79,0.95,1.15,1.21,1.29,1.05,0.97,1.21,1.48,1.9,2.44,2.03,2.25,2.26,2.45,2.5,2.94,3.09,2.99,3.07,3.95,3.83,3.82,3.33,4.01,4.67,5.97,6.64,7.01,7.5,7.17,8.21,12.67,15.06,9.37,9.08,8.73,8.41,7.08,6.63,6.92,7.54,8.33,9.15,18.65,20.61,15.15,13.58,15.83,14.27,14.37,24.07,15.8,16.01,18.51,22.16,34.39,36.75,25.4,23.36,24.84,24.79,27.58,29.86,32.25,30.81,30.42
Downloads Y/Y Growth,,,,,,,,,,,,,14.22,6.39,1.22,3.13,4.56,4.68,3.38,1.82,0.08,1.15,1.02,1.65,2.31,1.88,1.84,1.37,1.13,1.07,1.29,1.94,2.08,1.54,1.67,1.01,0.56,0.64,0.78,1.07,1.44,1.66,1.38,1.43,1.4,1.68,2.21,2.93,1.46,1.73,1.18,0.8,0.19,0,-0.01,0.01,0.16,0.11,0.47,0.37,0.62,0.5,0.81,0.7,1.03,2.63,1.28,1.12,1.22,1.42,0.84,0.78,0.68,0.72,0.57,0.74,0.92,0.24,1.04,0.92,0.64
